epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,2117.86,1.13577,0.84588,1.17699,0.51249,0.48965,0.49952,0.2655,1.69976,1.65576,1.6385,0.000274,0.000274,0.000274
112,2136.39,1.15257,0.84467,1.18194,0.50353,0.51308,0.49816,0.26778,1.68318,1.62554,1.63898,0.0002674,0.0002674,0.0002674
113,2154.68,1.13752,0.84267,1.17739,0.51052,0.49116,0.48219,0.25868,1.69623,1.67618,1.63564,0.0002608,0.0002608,0.0002608
114,2173.67,1.1443,0.83971,1.18072,0.51464,0.51304,0.49536,0.26833,1.70594,1.59276,1.6468,0.0002542,0.0002542,0.0002542
115,2194.85,1.13613,0.83382,1.1703,0.57384,0.44401,0.48951,0.26141,1.69769,1.60799,1.65251,0.0002476,0.0002476,0.0002476
116,2213.71,1.14023,0.84261,1.17885,0.54623,0.45966,0.48272,0.25894,1.7024,1.6371,1.64944,0.000241,0.000241,0.000241
117,2232.56,1.13511,0.83252,1.17824,0.51673,0.49542,0.48386,0.25522,1.71201,1.64479,1.64398,0.0002344,0.0002344,0.0002344
118,2251.16,1.11689,0.82706,1.16849,0.52699,0.4842,0.48101,0.25631,1.6987,1.66046,1.64439,0.0002278,0.0002278,0.0002278
119,2269.56,1.11655,0.80961,1.16254,0.48177,0.51139,0.49041,0.26312,1.70575,1.648,1.66015,0.0002212,0.0002212,0.0002212
120,2287.97,1.12296,0.82441,1.17321,0.51763,0.49305,0.48917,0.26276,1.69488,1.62796,1.64251,0.0002146,0.0002146,0.0002146
121,2306.47,1.11433,0.82095,1.16483,0.50711,0.5178,0.48908,0.26148,1.71165,1.63136,1.65857,0.000208,0.000208,0.000208
122,2325,1.11582,0.80633,1.15733,0.50968,0.49381,0.48542,0.26139,1.7115,1.65769,1.65288,0.0002014,0.0002014,0.0002014
123,2343.66,1.11297,0.82219,1.16443,0.53011,0.4698,0.4871,0.26209,1.70813,1.69154,1.65663,0.0001948,0.0001948,0.0001948
124,2362.2,1.11315,0.80917,1.16138,0.51499,0.4954,0.48722,0.26144,1.70036,1.63648,1.64023,0.0001882,0.0001882,0.0001882
125,2380.67,1.10121,0.79747,1.15008,0.53482,0.48836,0.4961,0.26438,1.71675,1.62278,1.65125,0.0001816,0.0001816,0.0001816
126,2399.17,1.10535,0.80199,1.15972,0.50829,0.49741,0.49123,0.26291,1.71272,1.64661,1.65115,0.000175,0.000175,0.000175
127,2417.84,1.0888,0.7961,1.14536,0.50176,0.52359,0.50125,0.26784,1.69988,1.66338,1.64851,0.0001684,0.0001684,0.0001684
128,2436.35,1.11183,0.79082,1.15697,0.51279,0.51075,0.50214,0.26499,1.71302,1.63195,1.65031,0.0001618,0.0001618,0.0001618
129,2454.87,1.10254,0.78938,1.15128,0.51028,0.48719,0.48562,0.26022,1.72029,1.62808,1.66645,0.0001552,0.0001552,0.0001552
130,2473.4,1.08828,0.78087,1.15049,0.56071,0.44573,0.48643,0.26172,1.71773,1.65142,1.6637,0.0001486,0.0001486,0.0001486
131,2492.02,1.08097,0.78334,1.15107,0.51636,0.50032,0.48844,0.26206,1.71339,1.69266,1.6649,0.000142,0.000142,0.000142
132,2510.93,1.09257,0.79909,1.14883,0.51587,0.48876,0.48568,0.26184,1.71497,1.67034,1.66718,0.0001354,0.0001354,0.0001354
133,2529.62,1.1031,0.79223,1.15293,0.5232,0.47243,0.48209,0.25737,1.72589,1.70484,1.67004,0.0001288,0.0001288,0.0001288
134,2548.77,1.08743,0.78155,1.15405,0.52055,0.48034,0.48271,0.25856,1.71854,1.69986,1.67077,0.0001222,0.0001222,0.0001222
135,2567.9,1.08688,0.78507,1.14536,0.57498,0.44045,0.48562,0.25859,1.71264,1.71221,1.65832,0.0001156,0.0001156,0.0001156
136,2586.46,1.08467,0.77892,1.14375,0.5408,0.47745,0.49199,0.26341,1.71067,1.66135,1.65619,0.000109,0.000109,0.000109
137,2605.02,1.0833,0.77281,1.14216,0.54813,0.47251,0.49341,0.2649,1.70557,1.65317,1.65042,0.0001024,0.0001024,0.0001024
138,2623.88,1.07089,0.76136,1.13311,0.53546,0.46542,0.48759,0.26152,1.70999,1.68706,1.65709,9.58e-05,9.58e-05,9.58e-05
139,2642.63,1.06891,0.76486,1.13876,0.51794,0.48081,0.48845,0.2601,1.71453,1.71436,1.66365,8.92e-05,8.92e-05,8.92e-05
140,2661.67,1.07423,0.77002,1.14271,0.55675,0.45431,0.49053,0.26312,1.71222,1.68031,1.6564,8.26e-05,8.26e-05,8.26e-05
141,2680.43,1.05715,0.73281,1.12146,0.5272,0.47859,0.47477,0.25012,1.74648,1.68526,1.7014,7.6e-05,7.6e-05,7.6e-05
142,2698.28,1.02353,0.69553,1.10931,0.53291,0.4635,0.47732,0.25122,1.72349,1.64327,1.68647,6.94e-05,6.94e-05,6.94e-05
143,2716.31,1.01061,0.67961,1.11459,0.55319,0.45415,0.48129,0.25344,1.71601,1.65273,1.67719,6.28e-05,6.28e-05,6.28e-05
144,2734.27,1.00496,0.65353,1.10133,0.53074,0.4612,0.48048,0.25591,1.72224,1.65486,1.67794,5.62e-05,5.62e-05,5.62e-05
145,2752.32,0.99609,0.65187,1.10102,0.54329,0.45589,0.47954,0.2557,1.71968,1.66226,1.67442,4.96e-05,4.96e-05,4.96e-05
146,2770.32,0.98764,0.65482,1.09407,0.54891,0.45821,0.48257,0.25654,1.72017,1.64886,1.67881,4.3e-05,4.3e-05,4.3e-05
147,2788.33,0.99885,0.65037,1.0952,0.56389,0.45151,0.47994,0.25456,1.71944,1.66349,1.67185,3.64e-05,3.64e-05,3.64e-05
148,2806.49,0.98703,0.63933,1.08735,0.54818,0.45841,0.48336,0.25657,1.71497,1.6574,1.67476,2.98e-05,2.98e-05,2.98e-05
149,2824.75,0.98184,0.64869,1.08575,0.5412,0.45722,0.48183,0.2569,1.71948,1.66569,1.67811,2.32e-05,2.32e-05,2.32e-05
150,2842.86,0.98152,0.64164,1.08839,0.53357,0.47286,0.48402,0.25767,1.71466,1.66574,1.67529,1.66e-05,1.66e-05,1.66e-05
